,nCuts,nTrees,ROCint
0,100,140,0.701111111111
1,100,150,0.701111111111
2,100,160,0.701555555556
3,100,170,0.701666666667
4,100,180,0.701777777778
5,100,190,0.701444444444
6,100,200,0.701333333333
7,100,210,0.701333333333
8,100,220,0.701111111111
9,100,230,0.700888888889
10,100,240,0.700888888889
11,100,250,0.700777777778
12,100,260,0.700666666667
13,100,270,0.700444444444
14,100,280,0.700444444444
15,100,290,0.700111111111
16,100,300,0.700111111111
17,110,140,0.700333333333
18,110,150,0.700333333333
19,110,160,0.700333333333
20,110,170,0.700444444444
21,110,180,0.700444444444
22,110,190,0.700333333333
23,110,200,0.700222222222
24,110,210,0.700444444444
25,110,220,0.700888888889
26,110,230,0.700777777778
27,110,240,0.700555555556
28,110,250,0.700333333333
29,110,260,0.700333333333
30,110,270,0.700333333333
31,110,280,0.700444444444
32,110,290,0.700333333333
33,110,300,0.700111111111
34,120,140,0.700888888889
35,120,150,0.700888888889
36,120,160,0.700777777778
37,120,170,0.701111111111
38,120,180,0.701111111111
39,120,190,0.701
40,120,200,0.701444444444
41,120,210,0.701111111111
42,120,220,0.701222222222
43,120,230,0.700888888889
44,120,240,0.700888888889
45,120,250,0.700777777778
46,120,260,0.700555555556
47,120,270,0.700555555556
48,120,280,0.700222222222
49,120,290,0.700333333333
50,120,300,0.700111111111
51,130,140,0.700333333333
52,130,150,0.700333333333
53,130,160,0.700333333333
54,130,170,0.700444444444
55,130,180,0.700444444444
56,130,190,0.700444444444
57,130,200,0.700666666667
58,130,210,0.700555555556
59,130,220,0.700666666667
60,130,230,0.700666666667
61,130,240,0.700555555556
62,130,250,0.700555555556
63,130,260,0.700555555556
64,130,270,0.700777777778
65,130,280,0.700777777778
66,130,290,0.700888888889
67,130,300,0.700777777778
68,140,140,0.700888888889
69,140,150,0.700888888889
70,140,160,0.700777777778
71,140,170,0.701
72,140,180,0.700888888889
73,140,190,0.701111111111
74,140,200,0.701222222222
75,140,210,0.701222222222
76,140,220,0.701111111111
77,140,230,0.701111111111
78,140,240,0.701
79,140,250,0.701
80,140,260,0.700888888889
81,140,270,0.700777777778
82,140,280,0.700777777778
83,140,290,0.700666666667
84,140,300,0.700666666667
85,150,140,0.700555555556
86,150,150,0.700777777778
87,150,160,0.700888888889
88,150,170,0.700888888889
89,150,180,0.700888888889
90,150,190,0.701
91,150,200,0.701111111111
92,150,210,0.701
93,150,220,0.701
94,150,230,0.701
95,150,240,0.701111111111
96,150,250,0.701
97,150,260,0.700777777778
98,150,270,0.700777777778
99,150,280,0.700666666667
100,150,290,0.700555555556
101,150,300,0.700222222222
102,160,140,0.701111111111
103,160,150,0.701
104,160,160,0.701222222222
105,160,170,0.701333333333
106,160,180,0.701333333333
107,160,190,0.701111111111
108,160,200,0.701222222222
109,160,210,0.701222222222
110,160,220,0.700888888889
111,160,230,0.700888888889
112,160,240,0.700888888889
113,160,250,0.700888888889
114,160,260,0.700888888889
115,160,270,0.700555555556
116,160,280,0.700333333333
117,160,290,0.700222222222
118,160,300,0.700111111111
119,170,140,0.700888888889
120,170,150,0.701111111111
121,170,160,0.701111111111
122,170,170,0.701111111111
123,170,180,0.701111111111
124,170,190,0.701
125,170,200,0.701222222222
126,170,210,0.701111111111
127,170,220,0.701
128,170,230,0.700777777778
129,170,240,0.700888888889
130,170,250,0.700777777778
131,170,260,0.700555555556
132,170,270,0.700444444444
133,170,280,0.700222222222
134,170,290,0.7
135,170,300,0.699777777778
136,180,140,0.701111111111
137,180,150,0.701111111111
138,180,160,0.701555555556
139,180,170,0.701666666667
140,180,180,0.701666666667
141,180,190,0.701555555556
142,180,200,0.701555555556
143,180,210,0.701555555556
144,180,220,0.701444444444
145,180,230,0.701222222222
146,180,240,0.701222222222
147,180,250,0.701333333333
148,180,260,0.701333333333
149,180,270,0.701222222222
150,180,280,0.701222222222
151,180,290,0.700888888889
152,180,300,0.700666666667
153,190,140,0.700666666667
154,190,150,0.700777777778
155,190,160,0.700888888889
156,190,170,0.701
157,190,180,0.701222222222
158,190,190,0.701
159,190,200,0.701111111111
160,190,210,0.701333333333
161,190,220,0.701444444444
162,190,230,0.701111111111
163,190,240,0.701222222222
164,190,250,0.701
165,190,260,0.700777777778
166,190,270,0.700777777778
167,190,280,0.700666666667
168,190,290,0.700444444444
169,190,300,0.700333333333
170,200,140,0.700777777778
171,200,150,0.701
172,200,160,0.701111111111
173,200,170,0.701222222222
174,200,180,0.701333333333
175,200,190,0.701111111111
176,200,200,0.701333333333
177,200,210,0.701333333333
178,200,220,0.701
179,200,230,0.701111111111
180,200,240,0.700888888889
181,200,250,0.701
182,200,260,0.700888888889
183,200,270,0.700888888889
184,200,280,0.700666666667
185,200,290,0.700555555556
186,200,300,0.700444444444
187,210,140,0.701111111111
188,210,150,0.701444444444
189,210,160,0.701333333333
190,210,170,0.701333333333
191,210,180,0.701333333333
192,210,190,0.701111111111
193,210,200,0.701222222222
194,210,210,0.701333333333
195,210,220,0.701111111111
196,210,230,0.700777777778
197,210,240,0.701111111111
198,210,250,0.701333333333
199,210,260,0.701222222222
200,210,270,0.701
201,210,280,0.700777777778
202,210,290,0.700777777778
203,210,300,0.700777777778
204,220,140,0.701222222222
205,220,150,0.701222222222
206,220,160,0.701222222222
207,220,170,0.701222222222
208,220,180,0.701222222222
209,220,190,0.701111111111
210,220,200,0.701111111111
211,220,210,0.701
212,220,220,0.701111111111
213,220,230,0.701111111111
214,220,240,0.701
215,220,250,0.700888888889
216,220,260,0.700888888889
217,220,270,0.700555555556
218,220,280,0.700555555556
219,220,290,0.700444444444
220,220,300,0.700444444444
221,230,140,0.701222222222
222,230,150,0.701111111111
223,230,160,0.701111111111
224,230,170,0.701444444444
225,230,180,0.701333333333
226,230,190,0.701333333333
227,230,200,0.701333333333
228,230,210,0.701333333333
229,230,220,0.701222222222
230,230,230,0.701222222222
231,230,240,0.701333333333
232,230,250,0.701333333333
233,230,260,0.701333333333
234,230,270,0.701111111111
235,230,280,0.701111111111
236,230,290,0.701
237,230,300,0.700888888889
238,240,140,0.700888888889
239,240,150,0.701111111111
240,240,160,0.701333333333
241,240,170,0.701222222222
242,240,180,0.701333333333
243,240,190,0.701222222222
244,240,200,0.701555555556
245,240,210,0.701555555556
246,240,220,0.701222222222
247,240,230,0.701222222222
248,240,240,0.701222222222
249,240,250,0.700888888889
250,240,260,0.700777777778
251,240,270,0.700666666667
252,240,280,0.700666666667
253,240,290,0.700555555556
254,240,300,0.700222222222
255,250,140,0.701111111111
256,250,150,0.701111111111
257,250,160,0.701111111111
258,250,170,0.701333333333
259,250,180,0.701222222222
260,250,190,0.701111111111
261,250,200,0.701222222222
262,250,210,0.701333333333
263,250,220,0.701222222222
264,250,230,0.701111111111
265,250,240,0.701222222222
266,250,250,0.700888888889
267,250,260,0.700888888889
268,250,270,0.701
269,250,280,0.700888888889
270,250,290,0.700444444444
271,250,300,0.700555555556
272,260,140,0.701333333333
273,260,150,0.701555555556
274,260,160,0.701666666667
275,260,170,0.701555555556
276,260,180,0.701666666667
277,260,190,0.701777777778
278,260,200,0.701555555556
279,260,210,0.702
280,260,220,0.701888888889
281,260,230,0.701888888889
282,260,240,0.701666666667
283,260,250,0.701444444444
284,260,260,0.701444444444
285,260,270,0.701444444444
286,260,280,0.701444444444
287,260,290,0.701222222222
288,260,300,0.701111111111
289,270,140,0.700888888889
290,270,150,0.701
291,270,160,0.701333333333
292,270,170,0.701444444444
293,270,180,0.701555555556
294,270,190,0.701666666667
295,270,200,0.701777777778
296,270,210,0.701777777778
297,270,220,0.701666666667
298,270,230,0.701444444444
299,270,240,0.701444444444
300,270,250,0.701111111111
301,270,260,0.701
302,270,270,0.700888888889
303,270,280,0.700777777778
304,270,290,0.700666666667
305,270,300,0.700555555556
306,280,140,0.700777777778
307,280,150,0.700777777778
308,280,160,0.701
309,280,170,0.701444444444
310,280,180,0.701444444444
311,280,190,0.701333333333
312,280,200,0.701333333333
313,280,210,0.701555555556
314,280,220,0.701555555556
315,280,230,0.701444444444
316,280,240,0.701222222222
317,280,250,0.701111111111
318,280,260,0.701111111111
319,280,270,0.701111111111
320,280,280,0.701111111111
321,280,290,0.701
322,280,300,0.700777777778
323,290,140,0.700666666667
324,290,150,0.700888888889
325,290,160,0.701111111111
326,290,170,0.701222222222
327,290,180,0.701222222222
328,290,190,0.701222222222
329,290,200,0.701333333333
330,290,210,0.701444444444
331,290,220,0.701444444444
332,290,230,0.701333333333
333,290,240,0.701222222222
334,290,250,0.701111111111
335,290,260,0.701
336,290,270,0.701333333333
337,290,280,0.701333333333
338,290,290,0.701
339,290,300,0.700777777778
340,300,140,0.701111111111
341,300,150,0.701111111111
342,300,160,0.701444444444
343,300,170,0.701333333333
344,300,180,0.701444444444
345,300,190,0.701222222222
346,300,200,0.701333333333
347,300,210,0.701444444444
348,300,220,0.701444444444
349,300,230,0.701555555556
350,300,240,0.701444444444
351,300,250,0.701222222222
352,300,260,0.701222222222
353,300,270,0.700888888889
354,300,280,0.700777777778
355,300,290,0.700555555556
356,300,300,0.700444444444
